name,catalog_id,class,type,ra,dec,mag,size_arcmin,common_names
NGC 2262,NGC2262,cluster,Open Cluster,06:39:38,+01:08:37,11.3,3.90,
NGC 2264,NGC2264,nebula,Cluster + Nebula,06:40:58,+09:53:43,3.9,11.40,Christmas Tree Cluster
NGC 2272,NGC2272,galaxy,Galaxy,06:42:41,-27:27:34,11.9,2.19,
NGC 2269,NGC2269,cluster,Open Cluster,06:43:17,+04:37:27,10.0,4.80,
NGC 2266,NGC2266,cluster,Open Cluster,06:43:19,+26:58:10,9.5,4.20,
NGC 2280,NGC2280,galaxy,Galaxy,06:44:49,-27:38:19,11.1,6.53,
M 41,NGC2287,cluster,Open Cluster,06:45:59,-20:45:15,4.5,12.00,
NGC 2282,NGC2282,nebula,HII Region,06:46:51,+01:18:57,10.0,3.00,
NGC 2292,NGC2292,galaxy,Galaxy,06:47:39,-26:44:46,11.8,4.34,
NGC 2286,NGC2286,cluster,Open Cluster,06:47:40,-03:08:51,7.5,5.40,
NGC 2293,NGC2293,galaxy,Galaxy,06:47:42,-26:45:15,11.0,4.41,
NGC 2258,NGC2258,galaxy,Galaxy,06:47:45,+74:28:54,11.9,3.02,
NGC 2281,NGC2281,cluster,Open Cluster,06:48:17,+41:04:43,5.4,10.80,
NGC 2301,NGC2301,cluster,Open Cluster,06:51:45,+00:27:33,6.0,10.20,Great Bird Cluster
NGC 2299,NGC2299,cluster,Open Cluster,06:51:53,-07:04:57,8.9,4.80,
NGC 2304,NGC2304,cluster,Open Cluster,06:55:11,+17:59:34,10.0,4.80,
NGC 2309,NGC2309,cluster,Open Cluster,06:56:03,-07:10:27,10.5,5.40,
NGC 2311,NGC2311,cluster,Open Cluster,06:57:47,-04:36:40,9.6,6.00,
NGC 2319,NGC2319,cluster,Open Cluster,07:00:32,+03:02:31,11.8,6.00,
M 50,NGC2323,cluster,Open Cluster,07:02:40,-08:21:50,5.9,14.10,
NGC 2325,NGC2325,galaxy,Galaxy,07:02:40,-28:41:50,11.2,3.97,
NGC 2324,NGC2324,cluster,Open Cluster,07:04:07,+01:02:40,8.4,8.70,
NGC 2320,NGC2320,galaxy,Galaxy,07:05:42,+50:34:51,11.9,1.48,
NGC 2335,NGC2335,cluster,Open Cluster,07:06:49,-10:01:43,7.2,8.70,
NGC 2331,NGC2331,cluster,Open Cluster,07:06:59,+27:15:41,8.5,4.80,
NGC 2343,NGC2343,cluster,Open Cluster,07:08:06,-10:37:00,6.7,7.50,
NGC 2345,NGC2345,cluster,Open Cluster,07:08:18,-13:11:37,7.7,6.90,
NGC 2339,NGC2339,galaxy,Galaxy,07:08:20,+18:46:48,11.8,2.42,
NGC 2346,NGC2346,nebula,Planetary Nebula,07:09:23,-00:48:32,11.6,0.87,
NGC 2340,NGC2340,galaxy,Galaxy,07:11:10,+50:10:29,11.7,3.16,
NGC 2354,NGC2354,cluster,Open Cluster,07:14:05,-25:41:20,6.5,4.80,
NGC 2268,NGC2268,galaxy,Galaxy,07:14:17,+84:22:56,11.6,2.14,
NGC 2353,NGC2353,cluster,Open Cluster,07:14:30,-10:15:57,7.1,6.60,
NGC 2355,NGC2355,cluster,Open Cluster,07:16:59,+13:44:59,9.7,6.00,
NGC 2360,NGC2360,cluster,Open Cluster,07:17:43,-15:38:28,7.2,9.00,Caroline's Cluster
NGC 2362,NGC2362,cluster,Open Cluster,07:18:41,-24:57:15,4.1,7.20,
NGC 2367,NGC2367,cluster,Open Cluster,07:20:04,-21:53:02,7.9,5.40,
NGC 2368,NGC2368,cluster,Open Cluster,07:21:06,-10:22:18,11.8,4.50,
NGC 2380,NGC2380,galaxy,Galaxy,07:23:54,-27:31:44,11.1,2.52,
NGC 2374,NGC2374,cluster,Open Cluster,07:23:56,-13:15:48,8.0,9.00,
NGC 2383,NGC2383,cluster,Open Cluster,07:24:39,-20:56:51,8.4,4.20,
NGC 2384,NGC2384,cluster,Open Cluster,07:25:09,-21:01:11,7.4,4.80,
NGC 2371,NGC2371,nebula,Planetary Nebula,07:25:34,+29:29:26,11.2,2.20,
NGC 2336,NGC2336,galaxy,Galaxy,07:27:04,+80:10:41,10.7,5.01,
NGC 2395,NGC2395,cluster,Open Cluster,07:27:12,+13:36:29,8.0,4.62,
NGC 2276,NGC2276,galaxy,Galaxy,07:27:14,+85:45:16,11.5,2.23,
NGC 2396,NGC2396,cluster,Open Cluster,07:28:02,-11:43:10,7.4,6.60,
NGC 2366,NGC2366,galaxy,Galaxy,07:28:54,+69:12:56,11.2,4.37,
NGC 2392,NGC2392,nebula,Planetary Nebula,07:29:10,+20:54:42,9.6,0.86,Eskimo Nebula
NGC 2409,NGC2409,cluster,Open Cluster,07:31:36,-17:11:25,7.3,0.11,
NGC 2300,NGC2300,galaxy,Galaxy,07:32:19,+85:42:34,11.2,3.05,
NGC 2414,NGC2414,cluster,Open Cluster,07:33:12,-15:27:13,7.9,5.40,
NGC 2421,NGC2421,cluster,Open Cluster,07:36:11,-20:36:44,8.3,5.10,
M 47,NGC2422,cluster,Open Cluster,07:36:35,-14:28:57,4.4,19.80,
NGC 2403,NGC2403,galaxy,Galaxy,07:36:51,+65:36:09,8.4,19.95,
NGC 2423,NGC2423,cluster,Open Cluster,07:37:06,-13:52:17,6.7,11.70,
NGC 2419,NGC2419,cluster,Globular Cluster,07:38:07,+38:52:47,10.1,4.50,
NGC 2420,NGC2420,cluster,Open Cluster,07:38:23,+21:34:26,8.3,7.50,
NGC 2439,NGC2439,cluster,Open Cluster,07:40:45,-31:41:32,6.9,8.70,
NGC 2432,NGC2432,cluster,Open Cluster,07:40:53,-19:04:08,10.2,5.40,
M 46,NGC2437,cluster,Open Cluster,07:41:46,-14:48:36,6.1,21.00,
NGC 2438,NGC2438,nebula,Planetary Nebula,07:41:50,-14:44:08,10.8,1.07,
