name,catalog_id,class,type,ra,dec,mag,size_arcmin,common_names
NGC 4237,NGC4237,galaxy,Galaxy,12:17:11,+15:19:26,11.8,1.82,
NGC 4223,NGC4223,galaxy,Galaxy,12:17:25,+06:41:24,11.9,2.02,
NGC 4244,NGC4244,galaxy,Galaxy,12:17:29,+37:48:25,10.2,16.22,
NGC 4242,NGC4242,galaxy,Galaxy,12:17:30,+45:37:09,11.0,3.80,
NGC 4245,NGC4245,galaxy,Galaxy,12:17:36,+29:36:28,11.4,2.55,
NGC 4251,NGC4251,galaxy,Galaxy,12:18:08,+28:10:31,10.8,2.34,
M 99,NGC4254,galaxy,Galaxy,12:18:49,+14:24:59,9.8,5.04,"Coma Pinwheel,Virgo Cluster Pinwheel"
M 106,NGC4258,galaxy,Galaxy,12:18:57,+47:18:14,9.3,16.98,
NGC 4260,NGC4260,galaxy,Galaxy,12:19:22,+06:05:55,11.6,2.51,
NGC 4261,NGC4261,galaxy,Galaxy,12:19:23,+05:49:30,11.1,4.25,
NGC 4262,NGC4262,galaxy,Galaxy,12:19:30,+14:52:39,11.5,1.74,
NGC 4267,NGC4267,galaxy,Galaxy,12:19:45,+12:47:53,10.9,2.55,
NGC 4274,NGC4274,galaxy,Galaxy,12:19:50,+29:36:52,10.4,3.63,
NGC 4273,NGC4273,galaxy,Galaxy,12:19:56,+05:20:36,11.8,2.19,
NGC 4278,NGC4278,galaxy,Galaxy,12:20:06,+29:16:50,10.2,2.89,
